season,pick_number,player_id,player_name,position,nfl_team,fantasy_team_id,fantasy_team,bid_amount,keeper,round
2022,1,3117251,Christian McCaffrey,RB,25.0,9,Slim Pickins,59,False,
2022,2,3116406,Tyreek Hill,WR,15.0,6,Whos Yurdatty,40,False,
2022,3,3116593,Dalvin Cook,RB,16.0,7,Worst Cook,49,False,
2022,4,3116385,Joe Mixon,RB,4.0,7,Worst Cook,43,False,
2022,5,3043078,Derrick Henry,RB,10.0,3,Kareemin' My Jeans,69,False,
2022,6,3068267,Austin Ekeler,RB,24.0,11,Seattle  Ricks ,55,False,
2022,7,4361579,,,,5,One-cut Heroes,47,False,
2022,8,3045147,James Conner,RB,22.0,1,D. Adams Family,32,False,
2022,9,4242335,Jonathan Taylor,RB,11.0,12,Shart City Poo Bums,75,False,
2022,10,16800,Davante Adams,WR,13.0,1,D. Adams Family,51,False,
2022,11,3042519,Aaron Jones,RB,9.0,2,Show Me Dem TDs,39,False,
2022,12,3054850,Alvin Kamara,RB,18.0,8,False Shart,47,False,
2022,13,4241457,Najee Harris,RB,23.0,4,Greendale Human Beings,69,False,
2022,14,15847,Travis Kelce,TE,12.0,9,Slim Pickins,53,False,
2022,15,2977187,Cooper Kupp,WR,14.0,2,Show Me Dem TDs,76,False,
2022,16,3916387,,,,6,Whos Yurdatty,31,False,
2022,17,3116365,Mark Andrews,TE,33.0,7,Worst Cook,53,False,
2022,18,4362628,Ja'Marr Chase,WR,4.0,3,Kareemin' My Jeans,56,False,
2022,19,4241389,CeeDee Lamb,WR,6.0,5,One-cut Heroes,55,False,
2022,20,4262921,Justin Jefferson,WR,16.0,12,Shart City Poo Bums,70,False,
2022,21,3128720,Nick Chubb,RB,5.0,4,Greendale Human Beings,37,False,
2022,22,3126486,Deebo Samuel,WR,25.0,6,Whos Yurdatty,54,False,
2022,23,4047646,A.J. Brown,WR,21.0,3,Kareemin' My Jeans,30,False,
2022,24,3115364,Leonard Fournette,RB,0.0,12,Shart City Poo Bums,36,False,
2022,25,16737,Mike Evans,WR,27.0,9,Slim Pickins,36,False,
2022,26,4047650,DK Metcalf,WR,26.0,9,Slim Pickins,27,False,
2022,27,3139477,Patrick Mahomes,QB,12.0,10,Team Clucker Fuckers,54,False,
2022,28,4427366,,,,10,Team Clucker Fuckers,22,False,
2022,29,4259545,D'Andre Swift,RB,8.0,8,False Shart,33,False,
2022,30,3929630,Saquon Barkley,RB,19.0,11,Seattle  Ricks ,29,False,
2022,31,4239934,AJ Dillon,RB,9.0,5,One-cut Heroes,27,False,
2022,32,2976212,Stefon Diggs,WR,2.0,8,False Shart,41,False,
2022,33,15818,Keenan Allen,WR,24.0,4,Greendale Human Beings,35,False,
2022,34,4372016,Jaylen Waddle,WR,15.0,4,Greendale Human Beings,30,False,
2022,35,3120348,JuJu Smith-Schuster,WR,17.0,2,Show Me Dem TDs,24,False,
2022,36,2330,Tom Brady,QB,27.0,10,Team Clucker Fuckers,14,False,
2022,37,4239993,Tee Higgins,WR,4.0,1,D. Adams Family,34,False,
2022,38,4038941,Justin Herbert,QB,24.0,11,Seattle  Ricks ,41,False,
2022,39,3918298,Josh Allen,QB,2.0,8,False Shart,43,False,
