season,manager,total_spend,spend_share_pct,avg_bid,max_bid,players_bought,early_spending_pct,star_concentration_pct,aggression_score,patience_score,stars_scrubs_score,market_impact_score
2022,Show Me Dem TDs,200,8.5,12.5,76,16,95.0,83.5,76.4,28.1,61.5,55.2
2022,Shart City Poo Bums,200,8.5,12.5,75,16,94.0,93.5,67.6,55.2,95.8,55.2
2022,Slim Pickins,200,8.5,12.5,59,16,95.0,87.5,63.9,28.1,75.0,55.2
2022,Greendale Human Beings,200,8.5,12.5,69,16,93.5,85.5,62.6,61.5,65.6,55.2
2022,Whos Yurdatty,200,8.5,12.5,54,16,95.0,74.0,59.5,28.1,24.0,55.2
2022,D. Adams Family,200,8.5,12.5,51,16,95.0,71.0,56.4,28.1,16.7,55.2
2022,Worst Cook,200,8.5,12.5,53,16,92.0,78.0,46.4,67.7,35.4,55.2
2022,False Shart,200,8.5,12.5,47,16,94.0,82.0,44.5,55.2,50.0,55.2
2022,Kareemin' My Jeans,196,8.4,12.25,69,16,79.1,82.7,37.5,89.6,56.2,25.0
2022,Team Clucker Fuckers,185,7.9,11.56,54,16,91.4,64.9,26.9,72.9,8.3,17.7
2022,One-cut Heroes,187,8.0,11.69,55,16,84.5,77.0,26.5,83.3,33.3,21.9
2022,Seattle  Ricks ,176,7.5,11.0,55,16,75.6,80.1,17.9,93.8,39.6,7.3
2023,Put it Justin??,200,8.5,12.5,77,16,96.0,80.5,84.8,2.1,41.7,55.2
2023,El Ultimo Hombre,200,8.5,12.5,69,16,95.5,83.5,77.3,12.5,61.5,55.2
2023,MaChungus,200,8.5,12.5,78,16,94.0,100.0,69.5,55.2,100.0,55.2
2023,One-cut Heroes,200,8.5,12.5,55,16,96.0,80.0,69.2,2.1,37.5,55.2
2023,Show Me Dem TDs,200,8.5,12.5,87,16,93.5,90.5,68.2,61.5,84.4,55.2
2023,Whos Yurdatty,200,8.5,12.5,69,16,94.0,85.5,64.5,55.2,65.6,55.2
2023,Olivas - Alone,200,8.5,12.5,64,16,94.5,90.0,62.6,42.7,81.2,55.2
2023,Kareemin' My Jeans,200,8.5,12.5,52,16,95.5,82.5,62.3,12.5,53.1,55.2
2023,False Shart,200,8.5,12.5,63,16,94.5,92.0,61.4,42.7,88.5,55.2
2023,Team Clucker Fuckers,200,8.5,12.5,51,16,95.5,70.0,61.0,12.5,14.6,55.2
2023,Greendale Human Beings,174,7.4,10.88,56,16,82.2,67.2,19.8,87.5,12.5,4.2
2023,Seattle  Ricks ,176,7.5,11.0,48,16,72.2,72.2,9.8,95.8,18.8,7.3
2024,Here's to you,200,8.5,12.5,64,16,95.5,87.5,71.7,12.5,75.0,55.2
2024,Kareemin' My Jeans,200,8.5,12.5,74,16,94.5,81.0,70.7,42.7,45.8,55.2
2024,Cee Dees in the Face,200,8.5,12.5,66,16,94.5,94.0,65.1,42.7,97.9,55.2
2024,Show Me Dem TDs,200,8.5,12.5,65,16,94.5,86.5,63.9,42.7,70.8,55.2
2024,El Ultimo Hombre,200,8.5,12.5,49,16,95.5,81.5,59.5,12.5,47.9,55.2
2024,One-cut Heroes,200,8.5,12.5,41,16,95.5,76.5,55.4,12.5,31.2,55.2
2024,Team Clucker Fuckers,200,8.5,12.5,47,16,92.0,75.0,40.7,67.7,29.2,55.2
2024,Seattle  Ricks ,199,8.5,12.44,66,16,90.5,90.5,39.9,78.1,84.4,55.2
2024,LaPorta Potty,200,8.5,12.5,39,16,91.0,61.5,36.0,75.0,4.2,55.2
2024,Greendale Human Beings,183,7.8,11.44,62,16,89.1,74.9,28.3,81.2,27.1,13.5
2024,Whos Yurdatty,178,7.6,11.12,60,16,42.7,59.6,21.0,97.9,2.1,10.4
2024,Cartel Del Taco,189,8.0,11.81,37,16,90.5,85.7,16.4,78.1,68.8,21.9
2025,Allen to this!,200,8.6,12.5,70,16,95.0,93.0,74.5,28.1,92.7,92.7
2025,Seattle  Ricks ,200,8.6,12.5,69,16,95.0,92.0,72.6,28.1,88.5,92.7
2025,Shooting Ropes💦,200,8.6,12.5,67,16,94.5,93.0,66.4,42.7,92.7,92.7
2025,One-cut Heroes,200,8.6,12.5,51,16,96.0,74.0,64.2,2.1,24.0,92.7
2025,Show Me Dem TDs,200,8.6,12.5,58,16,95.0,87.5,63.2,28.1,75.0,92.7
2025,Blunder Bust 2000,200,8.6,12.5,38,16,95.5,82.5,54.2,12.5,53.1,92.7
2025,Team Clucker Fuckers,200,8.6,12.5,47,16,95.0,88.5,52.6,28.1,79.2,92.7
2025,"Two Gibbs, One Kupp",197,8.5,12.31,66,16,92.9,80.7,42.7,64.6,43.8,55.2
2025,Run CMC,199,8.6,12.44,64,16,91.5,83.4,39.6,70.8,58.3,92.7
2025,Cartel Del Taco,154,6.7,9.62,49,16,94.2,65.6,22.4,50.0,10.4,2.1
2025,Flipadelphia Cheesestoinks,181,7.8,11.31,54,16,78.5,72.4,18.8,91.7,20.8,13.5
2025,Whos Yurdatty,184,7.9,11.5,44,16,82.6,64.1,14.2,85.4,6.2,17.7
