manager,seasons,avg_spend,avg_spend_share,avg_bid,avg_aggression,avg_patience,avg_stars_scrubs,avg_market_impact
Allen to this!,1,200.0,8.6,12.5,74.5,28.1,92.7,92.7
Blunder Bust 2000,1,200.0,8.6,12.5,54.2,12.5,53.1,92.7
Cartel Del Taco,2,171.5,7.4,10.7,19.4,64.0,39.6,12.0
Cee Dees in the Face,1,200.0,8.5,12.5,65.1,42.7,97.9,55.2
D. Adams Family,1,200.0,8.5,12.5,56.4,28.1,16.7,55.2
El Ultimo Hombre,2,200.0,8.5,12.5,68.4,12.5,54.7,55.2
False Shart,2,200.0,8.5,12.5,53.0,49.0,69.2,55.2
Flipadelphia Cheesestoinks,1,181.0,7.8,11.3,18.8,91.7,20.8,13.5
Greendale Human Beings,3,185.7,7.9,11.6,36.9,76.7,35.1,24.3
Here's to you,1,200.0,8.5,12.5,71.7,12.5,75.0,55.2
Kareemin' My Jeans,3,198.7,8.5,12.4,56.8,48.3,51.7,45.1
LaPorta Potty,1,200.0,8.5,12.5,36.0,75.0,4.2,55.2
MaChungus,1,200.0,8.5,12.5,69.5,55.2,100.0,55.2
Olivas - Alone,1,200.0,8.5,12.5,62.6,42.7,81.2,55.2
One-cut Heroes,4,196.8,8.4,12.3,53.8,25.0,31.5,56.2
Put it Justin??,1,200.0,8.5,12.5,84.8,2.1,41.7,55.2
Run CMC,1,199.0,8.6,12.4,39.6,70.8,58.3,92.7
Seattle  Ricks ,4,187.8,8.0,11.7,35.0,74.0,57.8,40.6
Shart City Poo Bums,1,200.0,8.5,12.5,67.6,55.2,95.8,55.2
Shooting Ropes💦,1,200.0,8.6,12.5,66.4,42.7,92.7,92.7
Show Me Dem TDs,4,200.0,8.5,12.5,67.9,40.1,72.9,64.6
Slim Pickins,1,200.0,8.5,12.5,63.9,28.1,75.0,55.2
Team Clucker Fuckers,4,196.2,8.4,12.3,45.3,45.3,32.8,55.2
"Two Gibbs, One Kupp",1,197.0,8.5,12.3,42.7,64.6,43.8,55.2
Whos Yurdatty,4,190.5,8.1,11.9,39.8,66.6,24.5,34.6
Worst Cook,1,200.0,8.5,12.5,46.4,67.7,35.4,55.2
