season,team_id,team_name,avg_efficiency_pct,total_points_left_on_bench,weeks
2022,4,Greendale Human Beings,91.2,197.62,17
2022,3,Kareemin' My Jeans,91.2,217.1999999999999,17
2022,2,Show Me Dem TDs,89.4,233.20000000000002,17
2022,10,Team Clucker Fuckers,88.9,263.74000000000007,17
2022,8,False Shart,88.5,274.1,17
2022,11,Seattle  Ricks ,88.3,324.08,17
2022,6,Whos Yurdatty,88.3,317.72,17
2022,9,Slim Pickins,88.0,307.1,17
2022,12,Shart City Poo Bums,87.9,301.80000000000007,17
2022,1,D. Adams Family,86.6,343.0999999999999,17
2022,7,Worst Cook,85.7,360.0200000000002,17
2022,5,One-cut Heroes,82.5,383.0400000000001,17
2023,2,Show Me Dem TDs,91.6,197.33999999999992,17
2023,1,MaChungus,90.4,226.74000000000007,17
2023,11,Seattle  Ricks ,88.3,312.79999999999995,17
2023,6,Whos Yurdatty,88.2,316.9600000000001,17
2023,9,Olivas - Alone,87.9,298.52,17
2023,7,Put it Justin??,87.7,258.74000000000007,17
2023,10,Team Clucker Fuckers,86.7,343.68,17
2023,12,El Ultimo Hombre,86.0,337.4000000000001,17
2023,5,One-cut Heroes,85.6,362.92,17
2023,4,Greendale Human Beings,85.3,422.0400000000001,17
2023,3,Kareemin' My Jeans,84.8,348.78000000000003,17
2023,8,False Shart,83.2,468.72,17
2024,5,One-cut Heroes,92.7,195.14,17
2024,12,El Ultimo Hombre,91.0,234.68,17
2024,11,Seattle  Ricks ,90.4,241.39999999999998,17
2024,3,Kareemin' My Jeans,90.3,201.7399999999999,17
2024,2,Show Me Dem TDs,90.1,272.77999999999986,17
2024,6,Whos Yurdatty,89.8,271.0600000000001,17
2024,1,LaPorta Potty,89.6,302.6200000000001,17
2024,8,Here's to you,89.6,273.2999999999999,17
2024,9,Cartel Del Taco,87.5,302.1199999999999,17
2024,4,Greendale Human Beings,87.1,330.84000000000015,17
2024,10,Team Clucker Fuckers,86.9,323.4,17
2024,7,Cee Dees in the Face,86.5,328.49999999999994,17
2025,2,Show Me Dem TDs,93.5,136.4600000000001,17
2025,10,Team Clucker Fuckers,90.6,229.28000000000017,17
2025,4,Flipadelphia Cheesestoinks,90.1,237.14,17
2025,12,Blunder Bust 2000,89.8,249.8,17
2025,7,Allen to this!,89.0,284.02,17
2025,11,Seattle  Ricks ,88.3,313.08,17
2025,8,Run CMC,88.2,346.2,17
2025,1,"Two Gibbs, One Kupp",86.8,361.4600000000001,17
2025,5,One-cut Heroes,86.0,344.37999999999994,17
2025,3,Shooting Ropes💦,85.8,356.97999999999996,17
2025,6,Whos Yurdatty,84.4,375.0400000000001,17
2025,9,Cartel Del Taco,81.6,427.70000000000005,17
