season,luck_rank,team_name,actual_wins,expected_wins,luck,weeks
2022,1.0,Greendale Human Beings,9.0,7.17,1.83,17
2022,2.0,Team Clucker Fuckers,9.0,7.19,1.81,17
2022,3.0,False Shart,9.0,7.97,1.03,17
2022,4.0,Slim Pickins,10.0,9.12,0.88,17
2022,5.0,Shart City Poo Bums,9.0,8.23,0.77,17
2022,6.0,Show Me Dem TDs,7.0,6.25,0.75,17
2022,7.0,Seattle  Ricks ,12.0,11.59,0.41,16
2022,8.0,One-cut Heroes,3.0,3.57,-0.57,17
2022,9.0,Kareemin' My Jeans,10.0,10.73,-0.73,16
2022,10.0,D. Adams Family,7.0,8.9,-1.9,17
2022,11.0,Whos Yurdatty,10.0,11.91,-1.91,17
2022,12.0,Worst Cook,6.0,8.36,-2.36,17
2023,1.0,Put it Justin??,7.0,4.57,2.43,17
2023,2.0,Team Clucker Fuckers,12.0,9.82,2.18,16
2023,3.0,Kareemin' My Jeans,6.0,4.73,1.27,17
2023,4.0,Olivas - Alone,10.0,8.97,1.03,17
2023,5.0,Greendale Human Beings,11.0,10.67,0.33,17
2023,6.0,MaChungus,8.0,8.23,-0.23,17
2023,7.0,One-cut Heroes,8.0,8.34,-0.34,17
2023,8.0,Whos Yurdatty,10.0,10.45,-0.45,17
2023,9.0,Show Me Dem TDs,8.0,8.53,-0.53,17
2023,10.0,Seattle  Ricks ,8.0,9.09,-1.09,16
2023,11.0,El Ultimo Hombre,7.0,8.77,-1.77,17
2023,12.0,False Shart,6.0,8.83,-2.83,17
2024,1.0,Cartel Del Taco,9.0,6.32,2.68,17
2024,2.0,LaPorta Potty,13.0,11.09,1.91,16
2024,3.0,Team Clucker Fuckers,8.0,7.08,0.92,17
2024,4.0,Kareemin' My Jeans,6.0,5.49,0.51,17
2024,5.0,El Ultimo Hombre,9.0,9.07,-0.07,17
2024,6.0,Show Me Dem TDs,10.0,10.18,-0.18,17
2024,7.0,Here's to you,9.0,9.36,-0.36,16
2024,8.0,Whos Yurdatty,8.5,9.32,-0.82,17
2024,9.0,One-cut Heroes,7.0,7.94,-0.94,17
2024,10.0,Cee Dees in the Face,5.0,6.1,-1.1,17
2024,11.0,Seattle  Ricks ,8.0,9.24,-1.24,17
2024,12.0,Greendale Human Beings,8.5,9.79,-1.29,17
2025,1.0,Run CMC,13.0,11.54,1.46,16
2025,2.0,Shooting Ropes💦,8.0,6.61,1.39,17
2025,3.0,"Two Gibbs, One Kupp",11.0,10.09,0.91,16
2025,4.0,Whos Yurdatty,7.0,6.2,0.8,17
2025,5.0,One-cut Heroes,9.0,8.52,0.47,17
2025,6.0,Cartel Del Taco,5.0,4.64,0.36,17
2025,7.0,Blunder Bust 2000,9.0,8.69,0.31,17
2025,8.0,Allen to this!,10.0,9.83,0.17,17
2025,9.0,Seattle  Ricks ,9.0,9.91,-0.91,17
2025,10.0,Flipadelphia Cheesestoinks,7.0,8.17,-1.17,17
2025,11.0,Team Clucker Fuckers,8.0,9.85,-1.85,17
2025,12.0,Show Me Dem TDs,5.0,6.95,-1.95,17
