owner,seasons,team_names,fantasy_team_ids
{0606EA12-F1DD-46DC-AD64-5BBB77C7FBA0},4,"Flipadelphia Cheesestoinks, Greendale Human Beings",4
{0EACE3A7-D466-49E3-8215-27D02C303DD5},4,Team Clucker Fuckers,10
{19D1DD9C-0399-480D-BF89-665D6B1E3BC4},4,"False Shart, Here's to you, Run CMC",8
{337F82E7-47FE-4690-BF82-E747FE569002},4,"Allen to this!, Cee Dees in the Face, Put it Justin??, Worst Cook",7
{4D0EB596-A4FF-4A67-9781-E287C6AEBEB9},4,One-cut Heroes,5
{4931351F-1C68-451E-937C-87B0C6CCCF5E},4,"D. Adams Family, LaPorta Potty, MaChungus, Two Gibbs, One Kupp",1
{D1BB66CC-C624-4EFB-A903-610BBD8BC6FB},4,Seattle  Ricks ,11
{74BB4243-DBAE-4F53-B44E-4BD091059259},4,Show Me Dem TDs,2
{E7A504AE-3B49-4CF1-B4F7-AA7EEBF5E474},4,Whos Yurdatty,6
{50BD0E27-9A94-4299-A430-801818AE7FD3},3,"Cartel Del Taco, Olivas - Alone",9
{EF9098F5-9F59-4CD9-9DAF-DD0BB49AAE98},3,Kareemin' My Jeans,3
{747BE81C-57BC-46C7-9F3A-530CB8AB1A90},2,"El Ultimo Hombre, Shart City Poo Bums",12
{0CAA3095-F39E-419B-AA30-95F39EF19BFD},1,Slim Pickins,9
"{747BE81C-57BC-46C7-9F3A-530CB8AB1A90}, {B61A326A-20D9-4ECC-AD14-FD043471A8F4}",1,El Ultimo Hombre,12
"{B61A326A-20D9-4ECC-AD14-FD043471A8F4}, {7B2363C9-F4A6-42D8-85E8-1CCA2D6DFC08}",1,Shooting Ropes💦,3
{EB4B0726-9D8A-4827-8AD7-BDB440E89192},1,Blunder Bust 2000,12
