season,fantasy_team_id,fantasy_team,total_spend,avg_bid,max_bid,players_bought,auction_budget,pct_of_budget_spent
2022,1,D. Adams Family,200,12.5,51,16,,
2022,2,Show Me Dem TDs,200,12.5,76,16,,
2022,4,Greendale Human Beings,200,12.5,69,16,,
2022,6,Whos Yurdatty,200,12.5,54,16,,
2022,7,Worst Cook,200,12.5,53,16,,
2022,8,False Shart,200,12.5,47,16,,
2022,9,Slim Pickins,200,12.5,59,16,,
2022,12,Shart City Poo Bums,200,12.5,75,16,,
2022,3,Kareemin' My Jeans,196,12.25,69,16,,
2022,5,One-cut Heroes,187,11.69,55,16,,
2022,10,Team Clucker Fuckers,185,11.56,54,16,,
2022,11,Seattle  Ricks ,176,11.0,55,16,,
2023,1,MaChungus,200,12.5,78,16,,
2023,2,Show Me Dem TDs,200,12.5,87,16,,
2023,3,Kareemin' My Jeans,200,12.5,52,16,,
2023,5,One-cut Heroes,200,12.5,55,16,,
2023,6,Whos Yurdatty,200,12.5,69,16,,
2023,7,Put it Justin??,200,12.5,77,16,,
2023,8,False Shart,200,12.5,63,16,,
2023,9,Olivas - Alone,200,12.5,64,16,,
2023,10,Team Clucker Fuckers,200,12.5,51,16,,
2023,12,El Ultimo Hombre,200,12.5,69,16,,
2023,11,Seattle  Ricks ,176,11.0,48,16,,
2023,4,Greendale Human Beings,174,10.88,56,16,,
2024,1,LaPorta Potty,200,12.5,39,16,,
2024,2,Show Me Dem TDs,200,12.5,65,16,,
2024,3,Kareemin' My Jeans,200,12.5,74,16,,
2024,5,One-cut Heroes,200,12.5,41,16,,
2024,7,Cee Dees in the Face,200,12.5,66,16,,
2024,8,Here's to you,200,12.5,64,16,,
2024,10,Team Clucker Fuckers,200,12.5,47,16,,
2024,12,El Ultimo Hombre,200,12.5,49,16,,
2024,11,Seattle  Ricks ,199,12.44,66,16,,
2024,9,Cartel Del Taco,189,11.81,37,16,,
2024,4,Greendale Human Beings,183,11.44,62,16,,
2024,6,Whos Yurdatty,178,11.12,60,16,,
2025,2,Show Me Dem TDs,200,12.5,58,16,,
2025,3,Shooting Ropes💦,200,12.5,67,16,,
2025,5,One-cut Heroes,200,12.5,51,16,,
2025,7,Allen to this!,200,12.5,70,16,,
2025,10,Team Clucker Fuckers,200,12.5,47,16,,
2025,11,Seattle  Ricks ,200,12.5,69,16,,
2025,12,Blunder Bust 2000,200,12.5,38,16,,
2025,8,Run CMC,199,12.44,64,16,,
2025,1,"Two Gibbs, One Kupp",197,12.31,66,16,,
2025,6,Whos Yurdatty,184,11.5,44,16,,
2025,4,Flipadelphia Cheesestoinks,181,11.31,54,16,,
2025,9,Cartel Del Taco,154,9.62,49,16,,
