fantasy_team,seasons,avg_spend,avg_pct_of_budget,avg_bid
Allen to this!,1,200.0,,12.5
Blunder Bust 2000,1,200.0,,12.5
Cee Dees in the Face,1,200.0,,12.5
D. Adams Family,1,200.0,,12.5
El Ultimo Hombre,2,200.0,,12.5
False Shart,2,200.0,,12.5
Here's to you,1,200.0,,12.5
Olivas - Alone,1,200.0,,12.5
MaChungus,1,200.0,,12.5
LaPorta Potty,1,200.0,,12.5
Worst Cook,1,200.0,,12.5
Show Me Dem TDs,4,200.0,,12.5
Shooting Ropes💦,1,200.0,,12.5
Put it Justin??,1,200.0,,12.5
Slim Pickins,1,200.0,,12.5
Shart City Poo Bums,1,200.0,,12.5
Run CMC,1,199.0,,12.4
Kareemin' My Jeans,3,198.7,,12.4
"Two Gibbs, One Kupp",1,197.0,,12.3
One-cut Heroes,4,196.8,,12.3
Team Clucker Fuckers,4,196.2,,12.3
Whos Yurdatty,4,190.5,,11.9
Seattle  Ricks ,4,187.8,,11.7
Greendale Human Beings,3,185.7,,11.6
Flipadelphia Cheesestoinks,1,181.0,,11.3
Cartel Del Taco,2,171.5,,10.7
