season,team_id,week,slot,starter_name,starter_points,bench_alternative,bench_points,points_left_on_bench,team_name
2024,2,17,QB,Jalen Hurts,0.0,Baker Mayfield,44.56,44.56,Show Me Dem TDs
2023,8,15,QB,Joshua Dobbs,0.0,Baker Mayfield,40.04,40.04,False Shart
2022,5,4,FLEX,Gabe Davis,2.3,T.J. Hockenson,39.900000000000006,37.6,One-cut Heroes
2023,4,16,FLEX,DeAndre Hopkins,4.0,George Pickens,41.5,37.5,Greendale Human Beings
2022,11,15,QB,Justin Herbert,8.719999999999999,Kirk Cousins,45.400000000000006,36.68,Seattle  Ricks 
2025,1,15,FLEX,Cooper Kupp,9.600000000000001,Kyle Pitts Sr.,45.6,36.0,"Two Gibbs, One Kupp"
2023,6,5,FLEX,Jayden Reed,1.7000000000000002,Zack Moss,36.5,34.8,Whos Yurdatty
2022,5,5,FLEX,AJ Dillon,3.4000000000000004,Gabe Davis,38.1,34.7,One-cut Heroes
2024,6,17,WR,Marquez Valdes-Scantling,0.0,Marvin Mims Jr.,33.2,33.2,Whos Yurdatty
2023,4,14,QB,Tua Tagovailoa,9.1,Lamar Jackson,41.64,32.54,Greendale Human Beings
2022,5,5,FLEX,Corey Davis,5.800000000000001,Gabe Davis,38.1,32.3,One-cut Heroes
2025,1,15,TE,Travis Kelce,14.0,Kyle Pitts Sr.,45.6,31.6,"Two Gibbs, One Kupp"
2023,9,12,QB,Brock Purdy,12.459999999999999,Josh Allen,43.660000000000004,31.2,Olivas - Alone
2022,11,11,FLEX,D'Onta Foreman,2.4000000000000004,Joshua Palmer,33.6,31.2,Seattle  Ricks 
2023,11,13,QB,Justin Herbert,7.98,Geno Smith,38.96,30.98,Seattle  Ricks 
2023,4,16,FLEX,Isiah Pacheco,10.6,George Pickens,41.5,30.9,Greendale Human Beings
2022,5,4,FLEX,AJ Dillon,9.4,T.J. Hockenson,39.900000000000006,30.5,One-cut Heroes
2023,9,4,RB,Antonio Gibson,3.6000000000000005,David Montgomery,34.1,30.5,Olivas - Alone
2025,9,4,RB,Jaylen Warren,0.0,Omarion Hampton,30.5,30.5,Cartel Del Taco
