season,position,total_spend,avg_bid,players_bought,pct_of_total_spend
2022,WR,853,17.41,49,36.4
2022,RB,839,19.98,42,35.8
2022,QB,222,15.86,14,9.5
2022,TE,171,10.69,16,7.3
2022,K,14,1.56,9,0.6
2022,D/ST,11,1.38,8,0.5
2023,WR,903,19.63,46,38.4
2023,RB,763,16.96,45,32.5
2023,QB,291,22.38,13,12.4
2023,TE,150,9.38,16,6.4
2023,K,18,1.8,10,0.8
2023,D/ST,15,1.5,10,0.6
2024,WR,1003,21.8,46,42.7
2024,RB,858,19.5,44,36.5
2024,QB,162,8.1,20,6.9
2024,TE,125,7.35,17,5.3
2024,K,16,1.6,10,0.7
2024,D/ST,13,1.62,8,0.6
2025,WR,876,18.25,48,37.8
2025,RB,866,20.14,43,37.4
2025,QB,184,11.5,16,7.9
2025,TE,110,7.33,15,4.8
2025,D/ST,17,1.7,10,0.7
2025,K,11,1.38,8,0.5
