season,week,power_rank,team_name,power_score,win_pct,avg_points_for,recent_form
2022,1,1.0,False Shart,100.0,1.0,189.28,189.28
2022,1,2.0,Shart City Poo Bums,83.6,1.0,164.18,164.18
2022,1,3.0,Slim Pickins,67.2,1.0,139.04,139.04
2022,1,4.0,Whos Yurdatty,65.0,1.0,135.72,135.72
2022,1,5.0,Seattle  Ricks ,62.3,1.0,131.56,131.56
2022,1,6.0,Show Me Dem TDs,55.5,1.0,121.12,121.12
2022,1,7.0,Worst Cook,23.2,0.0,133.0,133.0
2022,1,8.0,Kareemin' My Jeans,21.2,0.0,129.82,129.82
2022,1,9.0,D. Adams Family,19.1,0.0,126.72,126.72
2022,1,10.0,Team Clucker Fuckers,4.9,0.0,104.9,104.9
2022,1,11.0,One-cut Heroes,1.9,0.0,100.36,100.36
2022,1,12.0,Greendale Human Beings,0.0,0.0,97.4,97.4
2022,2,1.0,Whos Yurdatty,100.0,1.0,181.51999999999998,181.51999999999998
2022,2,2.0,False Shart,89.6,1.0,168.82999999999998,168.82999999999998
2022,2,3.0,Kareemin' My Jeans,47.9,0.5,142.26999999999998,142.26999999999998
2022,2,4.0,Greendale Human Beings,47.0,0.5,141.13,141.13
2022,2,5.0,Shart City Poo Bums,42.0,0.5,135.08,135.08
2022,2,6.0,Worst Cook,41.1,0.5,133.98000000000002,133.98000000000002
2022,2,7.0,Seattle  Ricks ,40.9,0.5,133.66,133.66
2022,2,8.0,Show Me Dem TDs,40.7,0.5,133.4,133.4
2022,2,9.0,Team Clucker Fuckers,32.9,0.5,123.85000000000001,123.85000000000001
2022,2,10.0,Slim Pickins,25.3,0.5,114.57,114.57
2022,2,11.0,D. Adams Family,7.1,0.0,116.74000000000001,116.74000000000001
2022,2,12.0,One-cut Heroes,0.0,0.0,108.1,108.1
2022,3,1.0,Whos Yurdatty,100.0,1.0,171.08666666666667,171.08666666666667
2022,3,2.0,False Shart,85.9,1.0,156.58666666666667,156.58666666666667
2022,3,3.0,Kareemin' My Jeans,67.7,0.6666666666666666,151.64666666666665,151.64666666666665
2022,3,4.0,Greendale Human Beings,58.7,0.6666666666666666,142.36666666666667,142.36666666666667
2022,3,5.0,Show Me Dem TDs,39.6,0.6666666666666666,122.75333333333333,122.75333333333333
2022,3,6.0,Worst Cook,35.3,0.3333333333333333,132.07333333333335,132.07333333333335
2022,3,7.0,Seattle  Ricks ,35.2,0.3333333333333333,131.94,131.94
2022,3,8.0,Slim Pickins,33.8,0.6666666666666666,116.79333333333334,116.79333333333334
2022,3,9.0,Shart City Poo Bums,24.2,0.3333333333333333,120.60666666666668,120.60666666666668
2022,3,10.0,Team Clucker Fuckers,16.5,0.3333333333333333,112.76,112.76
2022,3,11.0,D. Adams Family,10.9,0.0,120.66000000000001,120.66000000000001
2022,3,12.0,One-cut Heroes,0.0,0.0,109.46,109.46
2022,4,1.0,Whos Yurdatty,100.0,1.0,166.20499999999998,176.36666666666665
2022,4,2.0,False Shart,57.4,0.75,147.62,133.73333333333335
2022,4,3.0,Kareemin' My Jeans,50.8,0.5,146.35,151.86
2022,4,4.0,Slim Pickins,48.5,0.75,134.105,132.46
