season,week,power_rank,team_name,power_score,win_pct,avg_points_for,recent_form
2022,17,1.0,Whos Yurdatty,88.7,0.5882352941176471,144.08705882352942,142.64
2022,17,2.0,Seattle  Ricks ,88.2,0.75,140.95625,124.82000000000001
2022,17,3.0,Slim Pickins,79.1,0.5882352941176471,131.44941176470587,140.84666666666666
2022,17,4.0,Kareemin' My Jeans,75.9,0.625,141.02625,118.07333333333334
2022,17,5.0,Greendale Human Beings,60.2,0.5294117647058824,121.8635294117647,125.71999999999998
2022,17,6.0,Team Clucker Fuckers,56.7,0.5294117647058824,123.36588235294117,117.34000000000002
2022,17,7.0,Shart City Poo Bums,53.1,0.5294117647058824,122.48588235294119,111.88
2022,17,8.0,D. Adams Family,52.9,0.4117647058823529,126.97176470588238,120.96666666666665
2022,17,9.0,False Shart,49.9,0.5294117647058824,127.04470588235293,100.14666666666665
2022,17,10.0,Show Me Dem TDs,49.2,0.4117647058823529,118.85176470588236,124.49333333333334
2022,17,11.0,Worst Cook,31.4,0.35294117647058826,128.20705882352945,87.21333333333332
2022,17,12.0,One-cut Heroes,14.6,0.17647058823529413,100.48588235294118,114.26666666666665
2023,17,1.0,Team Clucker Fuckers,95.5,0.75,135.98125,156.20000000000002
2023,17,2.0,Greendale Human Beings,89.6,0.6470588235294118,138.1564705882353,161.91333333333333
2023,17,3.0,Whos Yurdatty,76.4,0.5882352941176471,137.43529411764706,145.48000000000002
2023,17,4.0,Seattle  Ricks ,58.0,0.5,134.12875000000003,130.23999999999998
2023,17,5.0,Olivas - Alone,57.6,0.5882352941176471,129.80117647058825,117.72666666666667
2023,17,6.0,One-cut Heroes,52.1,0.47058823529411764,125.29294117647059,144.74
2023,17,7.0,MaChungus,47.1,0.47058823529411764,126.99529411764706,128.0666666666667
2023,17,8.0,False Shart,42.0,0.35294117647058826,133.3235294117647,129.13333333333333
2023,17,9.0,Show Me Dem TDs,41.7,0.47058823529411764,127.21058823529411,114.14666666666669
2023,17,10.0,El Ultimo Hombre,25.3,0.4117647058823529,127.46588235294118,87.50666666666666
2023,17,11.0,Put it Justin??,15.1,0.4117647058823529,108.07882352941178,110.34666666666665
2023,17,12.0,Kareemin' My Jeans,4.9,0.35294117647058826,108.15999999999998,99.41333333333334
2024,17,1.0,LaPorta Potty,86.6,0.8125,147.86874999999998,142.6
2024,17,2.0,Here's to you,72.2,0.5625,138.69375,178.76666666666665
2024,17,3.0,Show Me Dem TDs,63.4,0.5882352941176471,138.27529411764704,150.61333333333334
2024,17,4.0,El Ultimo Hombre,55.3,0.5294117647058824,132.00117647058823,156.70666666666668
2024,17,5.0,Seattle  Ricks ,48.0,0.47058823529411764,135.66000000000003,140.09333333333333
2024,17,6.0,Greendale Human Beings,43.8,0.47058823529411764,137.59764705882353,123.86666666666667
2024,17,7.0,Whos Yurdatty,42.3,0.47058823529411764,135.46235294117645,125.15333333333335
2024,17,8.0,One-cut Heroes,40.9,0.4117647058823529,132.1258823529412,141.9
2024,17,9.0,Cartel Del Taco,33.0,0.5294117647058824,121.1435294117647,123.51333333333334
2024,17,10.0,Team Clucker Fuckers,21.0,0.47058823529411764,119.68235294117648,107.00666666666666
2024,17,11.0,Cee Dees in the Face,12.2,0.29411764705882354,121.50588235294117,115.45333333333332
2024,17,12.0,Kareemin' My Jeans,4.5,0.35294117647058826,115.48823529411764,97.68
2025,17,1.0,Run CMC,84.3,0.8125,146.31375,140.12666666666667
2025,17,2.0,"Two Gibbs, One Kupp",76.0,0.6875,142.76375000000002,149.20000000000002
2025,17,3.0,Seattle  Ricks ,69.6,0.5294117647058824,136.84235294117644,171.57333333333335
2025,17,4.0,Allen to this!,50.5,0.5882352941176471,134.00470588235294,129.16666666666666
2025,17,5.0,One-cut Heroes,49.3,0.5294117647058824,126.18117647058823,149.99333333333334
2025,17,6.0,Team Clucker Fuckers,34.4,0.47058823529411764,131.5964705882353,119.64
2025,17,7.0,Blunder Bust 2000,33.4,0.5294117647058824,129.65764705882356,111.91333333333334
2025,17,8.0,Shooting Ropes💦,26.4,0.47058823529411764,120.15411764705883,124.02666666666669
2025,17,9.0,Flipadelphia Cheesestoinks,23.9,0.4117647058823529,127.55764705882353,114.93333333333334
2025,17,10.0,Whos Yurdatty,13.8,0.4117647058823529,118.18823529411766,111.50666666666666
2025,17,11.0,Cartel Del Taco,12.1,0.29411764705882354,112.93999999999998,135.71333333333334
2025,17,12.0,Show Me Dem TDs,9.7,0.29411764705882354,122.58235294117648,113.48666666666668
