season,team_id,team_name,abbrev,owner
2022,1,D. Adams Family,Boo,{4931351F-1C68-451E-937C-87B0C6CCCF5E}
2022,2,Show Me Dem TDs,TDs,{74BB4243-DBAE-4F53-B44E-4BD091059259}
2022,3,Kareemin' My Jeans,GOO,{EF9098F5-9F59-4CD9-9DAF-DD0BB49AAE98}
2022,4,Greendale Human Beings,GDHB,{0606EA12-F1DD-46DC-AD64-5BBB77C7FBA0}
2022,5,One-cut Heroes,Rich,{4D0EB596-A4FF-4A67-9781-E287C6AEBEB9}
2022,6,Whos Yurdatty,RICH,{E7A504AE-3B49-4CF1-B4F7-AA7EEBF5E474}
2022,7,Worst Cook,JMAC,{337F82E7-47FE-4690-BF82-E747FE569002}
2022,8,False Shart,Poop,{19D1DD9C-0399-480D-BF89-665D6B1E3BC4}
2022,9,Slim Pickins,SKS,{0CAA3095-F39E-419B-AA30-95F39EF19BFD}
2022,10,Team Clucker Fuckers,CLFK,{0EACE3A7-D466-49E3-8215-27D02C303DD5}
2022,11,Seattle  Ricks ,AFU,{D1BB66CC-C624-4EFB-A903-610BBD8BC6FB}
2022,12,Shart City Poo Bums,SHIZ,{747BE81C-57BC-46C7-9F3A-530CB8AB1A90}
2023,1,MaChungus,frog,{4931351F-1C68-451E-937C-87B0C6CCCF5E}
2023,2,Show Me Dem TDs,TDs,{74BB4243-DBAE-4F53-B44E-4BD091059259}
2023,3,Kareemin' My Jeans,GOO,{EF9098F5-9F59-4CD9-9DAF-DD0BB49AAE98}
2023,4,Greendale Human Beings,GDHB,{0606EA12-F1DD-46DC-AD64-5BBB77C7FBA0}
2023,5,One-cut Heroes,Rich,{4D0EB596-A4FF-4A67-9781-E287C6AEBEB9}
2023,6,Whos Yurdatty,RICH,{E7A504AE-3B49-4CF1-B4F7-AA7EEBF5E474}
2023,7,Put it Justin??,WWJJ,{337F82E7-47FE-4690-BF82-E747FE569002}
2023,8,False Shart,Poop,{19D1DD9C-0399-480D-BF89-665D6B1E3BC4}
2023,9,Olivas - Alone,OLIV,{50BD0E27-9A94-4299-A430-801818AE7FD3}
2023,10,Team Clucker Fuckers,CLFK,{0EACE3A7-D466-49E3-8215-27D02C303DD5}
2023,11,Seattle  Ricks ,AFU,{D1BB66CC-C624-4EFB-A903-610BBD8BC6FB}
2023,12,El Ultimo Hombre,LAST,{747BE81C-57BC-46C7-9F3A-530CB8AB1A90}
2024,1,LaPorta Potty,Poo,{4931351F-1C68-451E-937C-87B0C6CCCF5E}
2024,2,Show Me Dem TDs,TDs,{74BB4243-DBAE-4F53-B44E-4BD091059259}
2024,3,Kareemin' My Jeans,GOO,{EF9098F5-9F59-4CD9-9DAF-DD0BB49AAE98}
2024,4,Greendale Human Beings,GDHB,{0606EA12-F1DD-46DC-AD64-5BBB77C7FBA0}
2024,5,One-cut Heroes,Rich,{4D0EB596-A4FF-4A67-9781-E287C6AEBEB9}
2024,6,Whos Yurdatty,RICH,{E7A504AE-3B49-4CF1-B4F7-AA7EEBF5E474}
2024,7,Cee Dees in the Face,WWJJ,{337F82E7-47FE-4690-BF82-E747FE569002}
2024,8,Here's to you,Poop,{19D1DD9C-0399-480D-BF89-665D6B1E3BC4}
2024,9,Cartel Del Taco,OLIV,{50BD0E27-9A94-4299-A430-801818AE7FD3}
2024,10,Team Clucker Fuckers,CLFK,{0EACE3A7-D466-49E3-8215-27D02C303DD5}
2024,11,Seattle  Ricks ,AFU,{D1BB66CC-C624-4EFB-A903-610BBD8BC6FB}
2024,12,El Ultimo Hombre,LAST,{747BE81C-57BC-46C7-9F3A-530CB8AB1A90}
2025,1,"Two Gibbs, One Kupp",YKYK,{4931351F-1C68-451E-937C-87B0C6CCCF5E}
2025,2,Show Me Dem TDs,TDs,{74BB4243-DBAE-4F53-B44E-4BD091059259}
2025,3,Shooting Ropes💦,DRP,{B61A326A-20D9-4ECC-AD14-FD043471A8F4}
2025,4,Flipadelphia Cheesestoinks,FLIP,{0606EA12-F1DD-46DC-AD64-5BBB77C7FBA0}
2025,5,One-cut Heroes,Rich,{4D0EB596-A4FF-4A67-9781-E287C6AEBEB9}
2025,6,Whos Yurdatty,RICH,{E7A504AE-3B49-4CF1-B4F7-AA7EEBF5E474}
2025,7,Allen to this!,WWJJ,{337F82E7-47FE-4690-BF82-E747FE569002}
2025,8,Run CMC,Poop,{19D1DD9C-0399-480D-BF89-665D6B1E3BC4}
2025,9,Cartel Del Taco,OLIV,{50BD0E27-9A94-4299-A430-801818AE7FD3}
2025,10,Team Clucker Fuckers,CLFK,{0EACE3A7-D466-49E3-8215-27D02C303DD5}
2025,11,Seattle  Ricks ,AFU,{D1BB66CC-C624-4EFB-A903-610BBD8BC6FB}
2025,12,Blunder Bust 2000,BB2,{EB4B0726-9D8A-4827-8AD7-BDB440E89192}
