season,week,team_id,opponent_team_id,points_for,points_against,result
2022,1,10,2,104.9,121.12,L
2022,1,2,10,121.12,104.9,W
2022,1,8,3,189.28,129.82,W
2022,1,3,8,129.82,189.28,L
2022,1,7,12,133.0,164.18,L
2022,1,12,7,164.18,133.0,W
2022,1,6,5,135.72,100.36,W
2022,1,5,6,100.36,135.72,L
2022,1,1,9,126.72,139.04,L
2022,1,9,1,139.04,126.72,W
2022,1,4,11,97.4,131.56,L
2022,1,11,4,131.56,97.4,W
2022,2,2,3,145.68,154.72,L
2022,2,3,2,154.72,145.68,W
2022,2,12,10,105.98,142.8,L
2022,2,10,12,142.8,105.98,W
2022,2,5,8,115.84,148.38,L
2022,2,8,5,148.38,115.84,W
2022,2,9,7,90.1,134.96,L
2022,2,7,9,134.96,90.1,W
2022,2,11,6,135.76,227.32,L
2022,2,6,11,227.32,135.76,W
2022,2,4,1,184.86,106.76,W
2022,2,1,4,106.76,184.86,L
2022,3,12,2,91.66,101.46,L
2022,3,2,12,101.46,91.66,W
2022,3,3,5,170.4,112.18,W
2022,3,5,3,112.18,170.4,L
2022,3,10,9,90.58,121.24,L
2022,3,9,10,121.24,90.58,W
2022,3,8,11,132.1,128.5,W
2022,3,11,8,128.5,132.1,L
2022,3,7,4,128.26,144.84,L
2022,3,4,7,144.84,128.26,W
2022,3,6,1,150.22,128.5,W
2022,3,1,6,128.5,150.22,L
2022,4,2,5,105.28,144.82,L
2022,4,5,2,144.82,105.28,W
2022,4,9,12,186.04,114.78,W
2022,4,12,9,114.78,186.04,L
2022,4,11,3,148.9,130.46,W
2022,4,3,11,130.46,148.9,L
2022,4,4,10,78.4,132.96,L
2022,4,10,4,132.96,78.4,W
2022,4,1,8,140.48,120.72,W
2022,4,8,1,120.72,140.48,L
2022,4,6,7,151.56,135.44,W
2022,4,7,6,135.44,151.56,L
2022,5,9,2,120.88,108.3,W
2022,5,2,9,108.3,120.88,L
2022,5,5,11,49.26,143.92,L
2022,5,11,5,143.92,49.26,W
2022,5,12,4,121.6,113.24,W
2022,5,4,12,113.24,121.6,L
2022,5,3,1,141.46,115.98,W
